2022-12-31 11:00:01.346136, B/S PRICE:0, TYPE: buy, STOP: 0, TARGET: 0
2022-12-31 11:15:01.631239, B/S PRICE:0, TYPE: buy, STOP: 0, TARGET: 0
2022-12-31 11:30:01.052801, B/S PRICE:0, TYPE: buy, STOP: 0, TARGET: 0
2022-12-31 11:45:01.650007, B/S PRICE:0, TYPE: buy, STOP: 0, TARGET: 0
2022-12-31 12:00:00.909412, B/S PRICE:0, TYPE: buy, STOP: 0, TARGET: 0
2022-12-31 12:15:00.854874, B/S PRICE:0, TYPE: buy, STOP: 0, TARGET: 0
2022-12-31 12:30:01.168126, B/S PRICE:0, TYPE: buy, STOP: 0, TARGET: 0
2022-12-31 12:45:01.062544, B/S PRICE:0, TYPE: buy, STOP: 0, TARGET: 0
2022-12-31 13:00:01.726699, B/S PRICE:0, TYPE: buy, STOP: 0, TARGET: 0
2022-12-31 13:15:00.949725, B/S PRICE:0, TYPE: buy, STOP: 0, TARGET: 0
2022-12-31 13:30:01.788976, B/S PRICE:0, TYPE: buy, STOP: 0, TARGET: 0
2022-12-31 13:45:02.000850, B/S PRICE:16597.18, TYPE: trailling, STOP: 16611.4, TARGET: 16566.670000000002
2022-12-31 14:00:00.892230, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-31 14:15:01.650644, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-31 14:30:01.458353, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-31 14:45:01.607498, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-31 15:00:01.154659, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-31 15:15:00.985674, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-31 15:30:01.344656, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-31 15:45:02.257700, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-31 16:00:01.653953, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-31 16:15:01.423778, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
